x,y
0,1114.5563915544494,1883.775734845205
1,347.78494287651495,1652.178091301025
2,1415.962927962461,2518.982543368105
3,1761.6672583582113,2215.854426237527
4,33.08699007544047,1521.3275160522794
5,1489.4523423366288,2342.9960020025987
6,619.3149423151267,1512.4906362589936
7,1265.7677462679605,2186.2199814539913
8,147.87126153562323,1540.6760595863907
9,1602.3040376289448,2323.590240568791
10,1267.1110681924479,1873.563836459571
11,914.0362640984829,1948.7920663640298
12,1376.5726726082003,2091.270956259037
13,1200.7856446223354,1902.1403834665964
14,1598.9670890079797,2545.746584613621
15,316.8742051389186,1488.3622951300358
16,828.2861931044139,2096.8778507799466
17,1493.2737715628793,2221.4458919764857
18,1527.1230831762539,2577.1967992675877
